GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
lvl2b_C033,Local - Amount; Total cash and investment holdings - Total other investments - Real property
lvl2a_C033,Local - CV; Total cash and investment holdings - Total other investments - Real property
lvl0a_C034,State and Local - Amount; Total cash and investment holdings - Total other investments - Miscellaneous investments
lvl0b_C034,State and Local - CV; Total cash and investment holdings - Total other investments - Miscellaneous investments
lvl1_C034,State; Total cash and investment holdings - Total other investments - Miscellaneous investments
lvl2b_C034,Local - Amount; Total cash and investment holdings - Total other investments - Miscellaneous investments
lvl2a_C034,Local - CV; Total cash and investment holdings - Total other investments - Miscellaneous investments
lvl0a_C036,State and Local - Amount; Number of systems
lvl0b_C036,State and Local - CV; Number of systems
lvl1_C036,State; Number of systems
lvl2b_C036,Local - Amount; Number of systems
lvl2a_C036,Local - CV; Number of systems
lvl0a_C038,State and Local - Amount; Total membership
lvl0b_C038,State and Local - CV; Total membership
lvl1_C038,State; Total membership
lvl2b_C038,Local - Amount; Total membership
lvl2a_C038,Local - CV; Total membership
lvl0a_C039,State and Local - Amount; Total membership - Active membership
lvl0b_C039,State and Local - CV; Total membership - Active membership
lvl1_C039,State; Total membership - Active membership
lvl2b_C039,Local - Amount; Total membership - Active membership
lvl2a_C039,Local - CV; Total membership - Active membership
lvl0a_C040,State and Local - Amount; Total membership - Inactive membership
lvl0b_C040,State and Local - CV; Total membership - Inactive membership
lvl1_C040,State; Total membership - Inactive membership
lvl2b_C040,Local - Amount; Total membership - Inactive membership
lvl2a_C040,Local - CV; Total membership - Inactive membership
lvl0a_C042,State and Local - Amount; Total beneficiaries receiving periodic benefit payments
lvl0b_C042,State and Local - CV; Total beneficiaries receiving periodic benefit payments
lvl1_C042,State; Total beneficiaries receiving periodic benefit payments
lvl2b_C042,Local - Amount; Total beneficiaries receiving periodic benefit payments
lvl2a_C042,Local - CV; Total beneficiaries receiving periodic benefit payments
lvl0a_C044,State and Local - Amount; Covered payroll
lvl0b_C044,State and Local - CV; Covered payroll
lvl1_C044,State; Covered payroll
lvl2b_C044,Local - Amount; Covered payroll
lvl2a_C044,Local - CV; Covered payroll
lvl0a_C046,State and Local - Amount; Pension Obligations
lvl0b_C046,State and Local - CV; Pension Obligations
lvl1_C046,State; Pension Obligations
lvl2b_C046,Local - Amount; Pension Obligations
lvl2a_C046,Local - CV; Pension Obligations
