
01105105110000Z15         459060611
01105105110000Z16           0060611
01203700310000X01       10610060611
01203700310000X04       11434060611
01203700310000X05           0060611
01203700310000Z72           0060611
01203700310000Z73         279060611
01203700310000X08       442440606AD
01203700310000Z97           00606NR
01203700310000Z96       20888060611
01203700310000Z95           0060611
01203700310000X11       46845060611
01203700310000X12        1004060611
01203700310000Z93         601060611
01203700310000Z92           00606NR
01203700310000Z91           00606NR
01203700310000Z90           0060611
01203700310000Z88        1265060611
01203700310000Z87           0060611
01203700310000Z68       212280606AE
01203700310000X21       22493060611
01203700310000Z89      180278060611
01203700310000X33        4406060611
01203700310000X30      184684060611
01203700310000X42           0060611
01203700310000Z84           0060611
01203700310000X35           0060611
01203700310000Z83           0060611
01203700310000X44           0060611
01203700310000X46           0060611
01203700310000X47           0060611
01203700310000Z82           0060611
01203700310000Z81      902145060611
01203700310000Z78      459690060611
01203700310000Z77      235278060611
01203700310000Z01        3701060611
01203700310000Z02           6060611
01203700310000Z03        1450060611
01203700310000Z04         756060611
01203700310000Z05         492060611
01203700310000Z06          15060611
01203700310000Z07           0060611
01203700310000Z08     2155511060611
01203700310000Z09     1231897060611
01203700310000Z10      389966060611
01203700310000Z11      122543060611
01203700310000Z12           0060611
01203700310000Z74           00606NR
01203700310000V01           00606NR
01203700310000V02           00606NR
01203700310000V03           00606NR
01203700310000V04           00606NR
01203700310000V05           00606NR
01203700310000V07           00606NR
01203700310000Z71       23077060611
01203700310000Z62       82850060611
01203700310000Z63      152428060611
01203700310000Z70           0060611
01203700310000Z13       32003060611
01203700310000Z14        8061060611
01203700310000Z15        4363060611
01203700310000Z16        2418060611
01203700310100X01        3418060611
01203700310100X04        3463060611
01203700310100X05           00606NR
01203700310100Z72           00606NR
01203700310100Z73           00606NR
01203700310100X08         240060611
01203700310100Z97           00606NR
01203700310100Z96           00606NR
01203700310100Z95           00606NR
01203700310100X11        4321060611
01203700310100X12         217060611
01203700310100Z93         674060611
01203700310100Z92           00606NR
01203700310100Z91           00606NR
01203700310100Z90           00606NR
01203700310100Z88       10402060611
01203700310100Z87           00606NR
01203700310100Z68           00606NR
01203700310100X21       10402060611
01203700310100Z89       19060060611
01203700310100X33           00606NR
01203700310100X30       19060060611
01203700310100X42           00606NR
01203700310100Z84           00606NR
01203700310100X35           00606NR
01203700310100Z83           00606NR
01203700310100X44           00606NR
01203700310100X46           00606NR
01203700310100X47           00606NR
01203700310100Z82           00606NR
01203700310100Z81       37155060611
01203700310100Z78         490060611
01203700310100Z77        7203060611
01203700310100Z01        1417060611
01203700310100Z02           00606NR
01203700310100Z03         164060611
01203700310100Z04           00606NR
01203700310100Z05          84060611
01203700310100Z06           00606NR
01203700310100Z07           00606NR
01203700310100Z08      3213760606AD
01203700310100Z09           00606NR
01203700310100Z10       387070606AD
01203700310100Z11           00606NR
01203700310100Z12           00606NR
01203700310100Z74           00606NR
01203700310100V01           00606NR
01203700310100V02           00606NR
01203700310100V03           00606NR
01203700310100V04           00606NR
01203700310100V05           00606NR
01203700310100V07           00606NR
01203700310100Z71         240060611
01203700310100Z62           00606NR
01203700310100Z63        7203060611
01203700310100Z70           00606NR
01203700310100Z13        3857060611
01203700310100Z14           00606NR
01203700310100Z15         4640606NR
01203700310100Z16           00606NR
01205100110000X01        5637060611
01205100110000X04        5486060611
01205100110000X05           0060611
01205100110000Z72        2589060611
01205100110000Z73          940606AE
01205100110000X08       285930606AC
01205100110000Z97           00606NR
01205100110000Z96       22915060611
01205100110000Z95           0060611
01205100110000X11       16515060611
01205100110000X12         958060611
01205100110000Z93        1296060611
01205100110000Z92           00606NR
01205100110000Z91           00606NR
01205100110000Z90           0060611
01205100110000Z88          27060611
01205100110000Z87           0060611
01205100110000Z68        82680606AE
01205100110000X21        8295060611
01205100110000Z89       33869060611
01205100110000X33           0060611
01205100110000X30       33869060611
01205100110000X42           0060611
01205100110000Z84           0060611
01205100110000X35           0060611
01205100110000Z83      113443060611
01205100110000X44      113443060611
01205100110000X46           0060611
01205100110000X47           0060611
01205100110000Z82           0060611
01205100110000Z81      305935060611
01205100110000Z78      127787060611
01205100110000Z77       22541060611
01205100110000Z01        3018060611
01205100110000Z02          28060611
01205100110000Z03        1117060611
01205100110000Z04         116060611
01205100110000Z05         134060611
01205100110000Z06           0060611
01205100110000Z07           0060611
01205100110000Z08     1295658060611
01205100110000Z09       66090060611
01205100110000Z10       14533060611
01205100110000Z11           0060611
01205100110000Z12           0060611
01205100110000Z74           00606NR
01205100110000V01           00606NR
01205100110000V02           00606NR
01205100110000V03           00606NR
01205100110000V04           00606NR
01205100110000V05           00606NR
01205100110000V07           00606NR
01205100110000Z71        2995060611
01205100110000Z62           0060611
01205100110000Z63       22541060611
01205100110000Z70           0060611
01205100110000Z13       16515060611
01205100110000Z14           0060611
01205100110000Z15           0060611
01205100110000Z16           0060611
01206300210000X01        2227060611
01206300210000X04        3127060611
01206300210000X05           0060611
01206300210000Z72         648060611
01206300210000Z73           00606NR
01206300210000X08        24350606AC
01206300210000Z97           00606NR
01206300210000Z96        1168060611
01206300210000Z95           00606NR
01206300210000X11        7381060611
01206300210000X12         202060611
01206300210000Z93         587060611
01206300210000Z92           00606NR
01206300210000Z91           00606NR
01206300210000Z90           00606NR
01206300210000Z88           1060611
01206300210000Z87         133060611
01206300210000Z68        67150606AE
