01203500410000X33           00303NR
01203500410000X30           00303NR
01203500410000X42           00303NR
01203500410000Z84           00303NR
01203500410000X35           00303NR
01203500410000Z83           00303NR
01203500410000X44           00303NR
01203500410000X46           00303NR
01203500410000X47           00303NR
01203500410000Z82           00303NR
01203500410000Z81       44940030311
01203500410000Z78           00303NR
01203500410000Z77           00303NR
01203500410000Z01         987030311
01203500410000Z02           00303NR
01203500410000Z03         280030311
01203500410000Z04          30030311
01203500410000Z05          10030311
01203500410000Z06           2030311
01203500410000Z07           00303NR
01203500410000Z08      443258030311
01203500410000Z09       23856030311
01203500410000Z10        5862030311
01203500410000Z11        6267030311
01203500410000Z12           00303NR
01203500410000Z74         987030311
01203500410000V01           00303NR
01203500410000V02           00303NR
01203500410000V03           00303NR
01203500410000V04           00303NR
01203500410000V05           00303NR
01203500410000V07           00303NR
01203500410000Z71           00303NR
01203500410000Z62           00303NR
01203500410000Z63           00303NR
01203500410000Z70           00303NR
01203700310000X01        9946030311
01203700310000X04       10745030311
01203700310000X05           00303NR
01203700310000Z72           00303NR
01203700310000Z73       20400030311
01203700310000X08       292020303AC
01203700310000Z97           00303NR
01203700310000Z96       46345030311
01203700310000Z95           00303NR
01203700310000X11       37576030311
01203700310000X12        1481030311
01203700310000Z93       39129030311
01203700310000Z92           00303NR
01203700310000Z91       37543030311
01203700310000Z90           00303NR
01203700310000Z88       11680030311
01203700310000Z87           00303NR
01203700310000Z68           00303NR
01203700310000X21       11680030311
01203700310000Z89      189786030311
01203700310000X33           00303NR
01203700310000X30      189786030311
01203700310000X42           00303NR
01203700310000Z84           00303NR
01203700310000X35           00303NR
01203700310000Z83           00303NR
01203700310000X44           00303NR
01203700310000X46           00303NR
01203700310000X47           00303NR
01203700310000Z82           00303NR
01203700310000Z81      3505420303AC
01203700310000Z78           00303NR
01203700310000Z77      149076030311
01203700310000Z01        3820030311
01203700310000Z02          36030311
01203700310000Z03        1317030311
01203700310000Z04         432030311
01203700310000Z05         447030311
01203700310000Z06          25030311
01203700310000Z07           00303NR
01203700310000Z08     2352577030311
01203700310000Z09      617637030311
01203700310000Z10      308160030311
01203700310000Z11       97568030311
01203700310000Z12           00303NR
01203700310000Z74         300030311
01203700310000V01           00303NR
01203700310000V02           00303NR
01203700310000V03           00303NR
01203700310000V04           00303NR
01203700310000V05           00303NR
01203700310000V07           00303NR
01203700310000Z71           00303NR
01203700310000Z62           00303NR
01203700310000Z63      149076030311
01203700310000Z70           00303NR
01203700310100X01        3071030311
01203700310100X04        3039030311
01203700310100X05           00303NR
01203700310100Z72           00303NR
01203700310100Z73           00303NR
01203700310100X08        14740303AC
01203700310100Z97           00303NR
01203700310100Z96          53030311
01203700310100Z95           00303NR
01203700310100X11        4158030311
01203700310100X12         339030311
01203700310100Z93         124030311
01203700310100Z92           00303NR
01203700310100Z91           00303NR
01203700310100Z90           00303NR
01203700310100Z88        2330030311
01203700310100Z87           00303NR
01203700310100Z68           00303NR
01203700310100X21        2330030311
01203700310100Z89           00303NR
01203700310100X33           00303NR
01203700310100X30           00303NR
01203700310100X42           00303NR
01203700310100Z84           00303NR
01203700310100X35           00303NR
01203700310100Z83           00303NR
01203700310100X44           00303NR
01203700310100X46           00303NR
01203700310100X47           00303NR
01203700310100Z82           00303NR
01203700310100Z81       29051030311
01203700310100Z78           00303NR
01203700310100Z77       26721030311
01203700310100Z01        1456030311
01203700310100Z02         283030311
01203700310100Z03         187030311
01203700310100Z04          13030311
01203700310100Z05          83030311
01203700310100Z06           2030311
01203700310100Z07           1030311
01203700310100Z08      226275030311
01203700310100Z09       15730030311
01203700310100Z10      104486030311
01203700310100Z11       23739030311
01203700310100Z12       53450030311
01203700310100Z74           0030311
01203700310100V01           00303NR
01203700310100V02           00303NR
01203700310100V03           00303NR
01203700310100V04           00303NR
01203700310100V05           00303NR
01203700310100V07           00303NR
01203700310100Z71        1421030311
01203700310100Z62       21188030311
01203700310100Z63        5533030311
01203700310100Z70           00303NR
01205100110000X01        5191030311
01205100110000X04        5636030311
01205100110000X05           00303NR
01205100110000Z72         800030311
01205100110000Z73           00303NR
01205100110000X08      -237560303AC
01205100110000Z97           00303NR
01205100110000Z96           00303NR
01205100110000Z95           00303NR
01205100110000X11       13700030311
01205100110000X12        1108030311
01205100110000Z93        1042030311
01205100110000Z92           00303NR
01205100110000Z91       30535030311
01205100110000Z90           00303NR
01205100110000Z88         215030311
01205100110000Z87          12030311
01205100110000Z68       514770303AE
01205100110000X21       51704030311
01205100110000Z89       22087030311
01205100110000X33           00303NR
01205100110000X30       22087030311
01205100110000X42           00303NR
01205100110000Z84           00303NR
01205100110000X35           00303NR
01205100110000Z83       37933030311
01205100110000X44       37933030311
01205100110000X46           00303NR
01205100110000X47           00303NR
01205100110000Z82           00303NR
01205100110000Z81      2396910303AC
01205100110000Z78       61829030311
01205100110000Z77       66138030311
01205100110000Z01        3016030311
01205100110000Z02          280303AD
01205100110000Z03         9720303AC
01205100110000Z04         116030311
01205100110000Z05         1340303AD
01205100110000Z06          18030311
01205100110000Z07           00303NR
01205100110000Z08     10900530303AC
01205100110000Z09       68492030311
01205100110000Z10       146970303AD
01205100110000Z11       75104030311
01205100110000Z12           00303NR
01205100110000Z74           00303NR
01205100110000V01           00303NR
01205100110000V02           00303NR
01205100110000V03           00303NR
01205100110000V04           00303NR
01205100110000V05           00303NR
01205100110000V07           00303NR
01205100110000Z71        59790303AE
01205100110000Z62           00303NR
01205100110000Z63       661380303AD
01205100110000Z70           00303NR
01206300210000X01        1779030311
01206300210000X04        2101030311
01206300210000X05           00303NR
01206300210000Z72         296030311
01206300210000Z73           00303NR
01206300210000X08        -7490303AC
01206300210000Z97           00303NR
01206300210000Z96           00303NR
01206300210000Z95           00303NR
01206300210000X11        5640030311
01206300210000X12         187030311
01206300210000Z93         424030311
01206300210000Z92           00303NR
01206300210000Z91        17540303AD
01206300210000Z90           00303NR
01206300210000Z88           5030311
01206300210000Z87         251030311
01206300210000Z68        2892030311
01206300210000X21        3148030311
01206300210000Z89       18051030311
01206300210000X33           00303NR
01206300210000X30       18051030311
01206300210000X42           00303NR
01206300210000Z84           00303NR
01206300210000X35           00303NR
01206300210000Z83           00303NR
01206300210000X44           00303NR
01206300210000X46           00303NR
01206300210000X47           00303NR
01206300210000Z82           00303NR
01206300210000Z81       50159030311
01206300210000Z78       28960030311
01206300210000Z77           00303NR
01206300210000Z01         407030311
01206300210000Z02           00303NR
01206300210000Z03         184030311
01206300210000Z04          15030311
01206300210000Z05          49030311
01206300210000Z06           00303NR
01206300210000Z07           00303NR
01206300210000Z08      416550030311
01206300210000Z09       19058030311
01206300210000Z10       41417030311
01206300210000Z11           00303NR
01206300210000Z12           00303NR
01206300210000Z74           0030311
01206300210000V01           00303NR
01206300210000V02           00303NR
01206300210000V03           00303NR
01206300210000V04           00303NR
01206300210000V05           00303NR
01206300210000V07           00303NR
01206300210000Z71         709030311
01206300210000Z62           00303NR
01206300210000Z63           00303NR
01206300210000Z70           00303NR
02000000001605X01       51856030312
02000000001605X02        3934030312
02000000001605Z99        4914030312
02000000001605V87           0030312
02000000001605X06        4914030312
02000000001605X05       57942030312
02000000001605Z98           0030312
02000000001605Z72       56457030312
02000000001605Z73          29030312
02000000001605X08      1196330303AC
02000000001605Z97           0030312
02000000001605Z96        2014030312
02000000001605Z95           0030312
02000000001605X11      310416030312
02000000001605X12        3840030312
02000000001605Z93       10453030312
02000000001605Z92           0030312
02000000001605Z91           0030312
02000000001605Z90           0030312
02000000001605Z88         563030312
02000000001605Z87           0030312
02000000001605Z68      101953030312
02000000001605X21      102516030312
02000000001605Z89      178510030312
02000000001605X33      475212030312
02000000001605X30      653722030312
02000000001605X42           0030312
02000000001605Z84           0030312
02000000001605X35       12407030312
02000000001605Z83      177811030312
02000000001605X44      230351030312
02000000001605X46           0030312
02000000001605X47      356109030312
02000000001605Z82      356109030312
02000000001605Z81     3599113030312
02000000001605Z78     1975514030312
02000000001605Z77      280901030312
02000000001605Z76         640030312
02000000001605Z75        9050030312
02000000001605Z01        9690030312
02000000001605Z02        3230030312
02000000001605Z03        7552030312
02000000001605Z04          87030312
02000000001605Z05         522030312
02000000001605Z06          28030312
02000000001605Z07           6030312
02000000001605Z08    19470468030312
02000000001605Z09      220993030312
02000000001605Z10      627490030312
02000000001605Z11      144712030312
02000000001605Z12       49063030312
02000000001605Z74        9389030312
02000000001605V01           00303NR
02000000001605V02           00303NR
02000000001605V03           00303NR
02000000001605V04           00303NR
02000000001605V05           00303NR
02000000001605V07           00303NR
02000000001605Z71       61133030312
02000000001605Z62           0030312
02000000001605Z63      280901030312
02000000001605Z70       40133030312
02000000001608X01       43730030312
02000000001608X02       68383030312
02000000001608Z99       57759030312
02000000001608V87           0030312
02000000001608X06       57759030312
02000000001608X05       41439030312
02000000001608Z98           0030312
02000000001608Z72      114978030312
02000000001608Z73          71030312
02000000001608X08      2534860303AC
02000000001608Z97           0030312
02000000001608Z96       13817030312
02000000001608Z95           0030312
02000000001608X11      451014030312
02000000001608X12       13025030312
02000000001608Z93       22162030312
02000000001608Z92           0030312
02000000001608Z91           0030312
02000000001608Z90           0030312
02000000001608Z88         524030312
02000000001608Z87           0030312
02000000001608Z68      208495030312
02000000001608X21      209019030312
02000000001608Z89      363693030312
02000000001608X33      968192030312
02000000001608X30     1331885030312
02000000001608X42           0030312
02000000001608Z84           0030312
02000000001608X35       25279030312
02000000001608Z83      365228030312
02000000001608X44      465034030312
02000000001608X46           0030312
02000000001608X47      733699030312
02000000001608Z82      733699030312
02000000001608Z81     7389406030312
02000000001608Z78     4077463030312
02000000001608Z77      572306030312
02000000001608Z76       15341030312
02000000001608Z75       17901030312
02000000001608Z01       33242030312
02000000001608Z02       17003030312
02000000001608Z03       16390030312
02000000001608Z04         470030312
02000000001608Z05        1653030312
02000000001608Z06         171030312
02000000001608Z07          28030312
02000000001608Z08    23987063030312
02000000001608Z09      705442030312
02000000001608Z10     1470703030312
02000000001608Z11     1092488030312
02000000001608Z12      136149030312
02000000001608Z74       18479030312
02000000001608V01           00303NR
02000000001608V02           00303NR
02000000001608V03           00303NR
02000000001608V04           00303NR
02000000001608V05           00303NR
02000000001608V07           00303NR
02000000001608Z71      124620030312
02000000001608Z62           0030312
02000000001608Z63      572306030312
02000000001608Z70       74527030312
02000000001609X01           0030312
02000000001609X02           0030312
02000000001609Z99        1322030312
02000000001609V87           0030312
02000000001609X06        1322030312
02000000001609X05           0030312
02000000001609Z98           0030312
02000000001609Z72          97030312
02000000001609Z73           0030312
02000000001609X08         7720303AC
02000000001609Z97           0030312
02000000001609Z96         308030312
02000000001609Z95           0030312
02000000001609X11        1488030312
02000000001609X12           0030312
02000000001609Z93         145030312
02000000001609Z92           0030312
02000000001609Z91           0030312
02000000001609Z90           0030312
02000000001609Z88          27030312
02000000001609Z87           0030312
02000000001609Z68         5150303AE
02000000001609X21         542030312
02000000001609Z89        11550303AE
02000000001609X33        3068030312
02000000001609X30        4223030312
02000000001609X42           0030312
02000000001609Z84           0030312
02000000001609X35          80030312
02000000001609Z83         317030312
02000000001609X44         397030312
02000000001609X46           0030312
02000000001609X47           0030312
02000000001609Z82           0030312
02000000001609Z81       127310303AE
02000000001609Z78        5737030312
02000000001609Z77        1832030312
02000000001609Z76        3538030312
02000000001609Z75           0030312
02000000001609Z01        3538030312
02000000001609Z02         680030312
02000000001609Z03         479030312
02000000001609Z04           0030312
02000000001609Z05           0030312
02000000001609Z06          13030312
02000000001609Z07           0030312
02000000001609Z08       47080030312
02000000001609Z09           0030312
02000000001609Z10           0030312
02000000001609Z11      122826030312
02000000001609Z12           0030312
02000000001609Z74           0030312
02000000001609V01           00303NR
02000000001609V02           00303NR
02000000001609V03           00303NR
02000000001609V04           00303NR
02000000001609V05           00303NR
02000000001609V07           00303NR
02000000001609Z71         367030312
02000000001609Z62           0030312
02000000001609Z63        1832030312
02000000001609Z70           0030312
02000000002000X01           0030312
02000000002000X02         334030312
02000000002000Z99        1746030312
02000000002000V87           0030312
02000000002000X06        1746030312
02000000002000X05           0030312
02000000002000Z98           0030312
02000000002000Z72        1037030312
02000000002000Z73           0030312
02000000002000X08        22310303AC
02000000002000Z97           0030312
02000000002000Z96         250030312
02000000002000Z95           0030312
02000000002000X11        4294030312
02000000002000X12           0030312
02000000002000Z93         161030312
02000000002000Z92           0030312
02000000002000Z91           0030312
02000000002000Z90           0030312
02000000002000Z88          54030312
02000000002000Z87           0030312
02000000002000Z68        2293030312
02000000002000X21        2347030312
02000000002000Z89        3002030312
02000000002000X33        8149030312
02000000002000X30       11151030312
02000000002000X42           0030312
02000000002000Z84           0030312
02000000002000X35         218030312
02000000002000Z83         737030312
02000000002000X44         955030312
02000000002000X46           0030312
02000000002000X47        5092030312
02000000002000Z82        5092030312
02000000002000Z81       635090303AE
02000000002000Z78       39509030312
02000000002000Z77        4455030312
02000000002000Z76          56030312
02000000002000Z75           0030312
02000000002000Z01          56030312
02000000002000Z02          11030312
02000000002000Z03          58030312
02000000002000Z04           1030312
02000000002000Z05          14030312
02000000002000Z06           0030312
02000000002000Z07           0030312
02000000002000Z08      265839030312
02000000002000Z09        6814030312
02000000002000Z10       39470030312
02000000002000Z11           0030312
02000000002000Z12           0030312
02000000002000Z74           0030312
02000000002000V01           00303NR
02000000002000V02           00303NR
02000000002000V03           00303NR
02000000002000V04           00303NR
02000000002000V05           00303NR
02000000002000V07           00303NR
02000000002000Z71         944030312
02000000002000Z62           0030312
02000000002000Z63        4455030312
02000000002000Z70           0030312
02200200110000X01           00303NR
02200200110000X04           00303NR
02200200110000X05           00303NR
02200200110000Z72        1699030311
02200200110000Z73        1017030311
02200200110000X08      -291560303AC
02200200110000Z97           00303NR
02200200110000Z96           00303NR
02200200110000Z95           00303NR
02200200110000X11       19718030311
02200200110000X12           00303NR
02200200110000Z93        1932030311
02200200110000Z92           00303NR
02200200110000Z91       39376030311
02200200110000Z90           00303NR
02200200110000Z88        3555030311
02200200110000Z87           00303NR
02200200110000Z68           00303NR
02200200110000X21        3555030311
02200200110000Z89       315370303AE
02200200110000X33        9938030311
02200200110000X30       41475030311
02200200110000X42         250030311
02200200110000Z84           00303NR
02200200110000X35           00303NR
02200200110000Z83        43630303AE
02200200110000X44       56351030311
02200200110000X46           00303NR
02200200110000X47       16582030311
02200200110000Z82       16582030311
02200200110000Z81      3221470303AE
02200200110000Z78      119650030311
02200200110000Z77       84284030311
02200200110000Z01         226030311
02200200110000Z02          15030311
02200200110000Z03         358030311
02200200110000Z04         127030311
02200200110000Z05          52030311
02200200110000Z06           00303NR
02200200110000Z07           00303NR
02200200110000Z08     11502380303AC
02200200110000Z09      3943670303AC
02200200110000Z10       985940303AC
02200200110000Z11           00303NR
02200200110000Z12           00303NR
02200200110000Z74           0030311
02200200110000V01           00303NR
