02000000001605Z02        21429494MA
02000000001605Z03        38719494MA
02000000001605Z04         1209494AD
02000000001605Z05         2269494AD
02000000001605Z06          159494AD
02000000001605Z07           29494AD
02000000001605Z08     79497369494MA
02000000001605Z09      2544049494AD
02000000001605Z10      1916509494AD
02000000001605Z11      2011119494AD
02000000001605Z12        47749494AD
02000000001605Z68       70066949471
02000000001605Z72       34199949471
02000000001605Z73       84070949471
02000000001605Z75        8911949471
02000000001605Z76         874949471
02000000001605Z77      4369999494AD
02000000001605Z78      923925949471
02000000001605Z79      4288719494AD
02000000001605Z81     2251614949471
02000000001605Z82       69397949471
02000000001605Z83      310312949471
02000000001605Z89      4871819494AD
02000000001605Z93        7659949471
02000000001605Z96       64314949471
02000000001605Z99        6359949471
02000000001608X01       33814949471
02000000001608X02       48689949471
02000000001608X05       50772949471
02000000001608X06      102545949471
02000000001608X08      312574949471
02000000001608X11      157913949471
02000000001608X12        9584949471
02000000001608X21      165952949471
02000000001608X30     1000511949471
02000000001608X33       574939494AD
02000000001608X40      712380949471
02000000001608X41     14936419494AD
02000000001608X42        5664949471
02000000001608X44      521741949471
02000000001608X46      1160899494AD
02000000001608Z01       313789494AD
02000000001608Z02       113909494MA
02000000001608Z03        8764949471
02000000001608Z04         2649494AD
02000000001608Z05         6849494AD
02000000001608Z06         1439494AD
02000000001608Z07          149494AD
02000000001608Z08     9548568949471
02000000001608Z09      4330219494AD
02000000001608Z10      4377549494AD
02000000001608Z11      8312539494AD
02000000001608Z12      1243129494AD
02000000001608Z68      1659529494AD
02000000001608Z72       522319494AD
02000000001608Z73      148835949471
02000000001608Z75       14661949471
02000000001608Z76       16717949471
02000000001608Z77      727399949471
02000000001608Z78     16305589494AD
02000000001608Z79      7123809494MC
02000000001608Z81     4015978949471
02000000001608Z82      1160899494AD
02000000001608Z83      5217419494AD
02000000001608Z89      9430189494MA
02000000001608Z93       112789494AD
02000000001608Z96      1115089494AD
02000000001608Z99      102545949471
02200200110000X01        10579494AD
02200200110000X04        26279494AD
02200200110000X08       34627949471
02200200110000X11        8396949471
02200200110000X12         1199494AD
02200200110000X21       13893949471
02200200110000X30       64340949471
02200200110000X33       643409494AD
02200200110000X40       45092949471
02200200110000X41      133018949471
02200200110000X42        3301949471
02200200110000X44       15327949471
02200200110000X47       101759494AD
02200200110000Z01         456949471
02200200110000Z02          10949471
02200200110000Z03         189949471
02200200110000Z04         114949471
02200200110000Z05          27949471
02200200110000Z06           29494AD
02200200110000Z08      362019949471
02200200110000Z09      420520949471
02200200110000Z10       67500949471
02200200110000Z11       625009494AD
02200200110000Z68       127289494AD
02200200110000Z72        4211949471
02200200110000Z73        9475949471
02200200110000Z77       46229949471
02200200110000Z78      147402949471
02200200110000Z79       45092949471
02200200110000Z81      285146949471
02200200110000Z82       101759494AD
02200200110000Z83       153279494AD
02200200110000Z88        1165949471
02200200110000Z93        1916949471
02200200110000Z96       20941949471
03000000007801V87        43769494AD
03000000007801X01       316999494AD
03000000007801X02        16959494AD
03000000007801X05       330639494AD
03000000007801X06        8134949471
03000000007801X08      167005949471
03000000007801X11       74512949471
03000000007801X12        2108949471
03000000007801X21      134232949471
03000000007801X30      600695949471
03000000007801X33      218309949471
03000000007801X40      127502949471
03000000007801X41      9873189494MA
03000000007801Z01       11339949471
03000000007801Z03        2756949471
03000000007801Z04         436949471
03000000007801Z05         506949471
03000000007801Z08     52979849494AD
03000000007801Z09      6447659494AD
03000000007801Z10      5059019494AD
03000000007801Z68      134143949471
03000000007801Z72       36615949471
03000000007801Z73       73586949471
03000000007801Z75       101409494MA
03000000007801Z76        11999494MA
03000000007801Z77      210935949471
03000000007801Z78     1109597949471
03000000007801Z79      1275029494MA
03000000007801Z81     1849747949471
03000000007801Z88          899494AD
03000000007801Z89      382386949471
03000000007801Z91         2769494AD
03000000007801Z93         7659494AD
03000000007801Z96       57080949471
03000000007801Z99        37589494AD
03000000009001X01       452649494AD
03000000009001X02       173689494AD
03000000009001X05       452649494AD
03000000009001X06       17368949471
03000000009001X08      961757949471
03000000009001X11      4541189494AD
03000000009001X12       226509494AD
