"Date","Region","Pension assets (millions)","Pension liabilities (millions)","Funding status (millions)","Assets as a percent of liabilities","Funding status as a percent of state GDP","Funding status as a percent of state revenue"
2008,"New Hampshire","4467.487","8687.381","-4219.894","51.425","-7.040","-43.675"
2008,"New Jersey","61969.113","147677.929","-85708.816","41.962","-17.355","-99.730"
2008,"New Mexico","16948.275","28805.381","-11857.106","58.837","-14.121","-72.016"
2008,"New York","274781.461","385708.368","-110926.907","71.241","-10.010","-45.817"
2008,"North Carolina","61590.054","73274.910","-11684.856","84.053","-2.850","-15.178"
2008,"North Dakota","2919.312","4318.349","-1399.037","67.602","-4.355","-21.270"
2008,"Ohio","127851.672","196381.624","-68529.952","65.104","-13.827","-67.907"
2008,"Oklahoma","17888.622","33822.983","-15934.361","52.889","-10.129","-59.389"
2008,"Oregon","45334.577","61886.614","-16552.037","73.254","-9.212","-56.667"
2008,"Pennsylvania","89367.648","145642.727","-56275.079","61.361","-9.954","-51.321"
2008,"Rhode Island","6905.189","16559.775","-9654.586","41.699","-20.373","-102.227"
2008,"South Carolina","22596.395","42586.722","-19990.327","53.060","-12.276","-56.583"
2008,"South Dakota","6115.589","9817.889","-3702.300","62.290","-10.046","-71.103"
2008,"Tennessee","32666.680","39041.818","-6375.138","83.671","-2.546","-13.229"
2008,"Texas","151646.197","182902.234","-31256.037","82.911","-2.511","-18.211"
2008,"Utah","18045.943","21740.632","-3694.689","83.006","-3.179","-16.077"
2008,"Vermont","2547.379","4523.373","-1975.994","56.316","-7.808","-32.481"
2008,"Virginia","54274.434","77018.396","-22743.962","70.469","-5.689","-39.102"
2008,"Washington","49818.841","66630.331","-16811.490","74.769","-4.764","-26.674"
2008,"West Virginia","7240.167","13069.336","-5829.169","55.398","-9.395","-42.626"
2008,"Wisconsin","67394.178","69604.990","-2210.812","96.824","-0.902","-5.326"
2008,"Wyoming","5050.676","6747.287","-1696.611","74.855","-3.893","-18.081"
2007,"United States","3292697.894","3588471.000","-295773.106","91.758","-2.055","-9.640"
2007,"Alabama","32418.736","40497.302","-8078.566","80.052","-4.741","-19.872"
2007,"Alaska","12469.547","16189.635","-3720.088","77.022","-7.548","-23.935"
2007,"Arizona","36146.368","49142.392","-12996.024","73.554","-4.956","-25.361"
2007,"Arkansas","19627.547","20481.603","-854.056","95.830","-0.861","-3.798"
2007,"California","643818.305","634357.824","9460.481","101.491","0.485","2.004"
2007,"Colorado","51300.470","68096.144","-16795.674","75.335","-6.851","-36.237"
2007,"Connecticut","33671.940","56836.270","-23164.330","59.244","-9.845","-62.052"
2007,"Delaware","8005.139","7690.140","314.999","104.096","0.555","3.408"
2007,"District of Columbia","7337.329","4387.518","2949.811","167.232","3.148","25.901"
2007,"Florida","155837.493","140599.165","15238.328","110.838","1.970","8.808"
2007,"Georgia","75280.357","94368.597","-19088.240","79.773","-4.636","-25.118"
2007,"Hawaii","12672.071","16233.260","-3561.189","78.062","-5.498","-26.325"
2007,"Idaho","11068.984","10407.934","661.050","106.351","1.202","5.372"
2007,"Illinois","138353.176","218194.556","-79841.380","63.408","-12.309","-66.036"
2007,"Indiana","28059.919","30648.718","-2588.799","91.553","-0.954","-5.200"
2007,"Iowa","27423.598","22749.529","4674.069","120.546","3.402","16.910"
2007,"Kansas","16720.251","17862.455","-1142.204","93.606","-0.934","-4.710"
2007,"Kentucky","32887.281","45515.555","-12628.274","72.255","-8.122","-37.363"
2007,"Louisiana","39439.368","55246.506","-15807.138","71.388","-7.539","-33.395"
2007,"Maine","12512.569","13365.098","-852.529","93.621","-1.730","-6.935"
2007,"Maryland","53577.018","65304.569","-11727.551","82.042","-4.042","-22.050"
2007,"Massachusetts","67478.431","97774.852","-30296.421","69.014","-8.015","-42.802"
2007,"Michigan","91906.020","93762.452","-1856.432","98.020","-0.461","-2.032"
2007,"Minnesota","53946.292","62844.140","-8897.848","85.841","-3.429","-16.375"
2007,"Mississippi","27278.908","28665.105","-1386.197","95.164","-1.508","-4.693"
2007,"Missouri","58075.190","75869.227","-17794.037","76.546","-7.356","-35.866"
2007,"Montana","8310.498","9396.651","-1086.153","88.441","-3.044","-11.857"
2007,"Nebraska","10997.710","11672.456","-674.746","94.219","-0.814","-3.705"
2007,"Nevada","23313.676","28824.177","-5510.501","80.882","-4.202","-23.754"
2007,"New Hampshire","5917.154","7984.662","-2067.508","74.107","-3.448","-19.917"
2007,"New Jersey","78488.627","137987.418","-59498.791","56.881","-12.346","-62.450"
2007,"New Mexico","23375.792","27026.211","-3650.419","86.493","-4.538","-17.319"
2007,"New York","383652.193","371036.531","12615.662","103.400","1.126","4.338"
2007,"North Carolina","77499.822","69212.506","8287.316","111.974","2.094","10.934"
2007,"North Dakota","4076.417","4047.406","29.011","100.717","0.101","0.459"
2007,"Ohio","169063.687","185376.202","-16312.515","91.200","-3.296","-13.409"
2007,"Oklahoma","24738.311","31489.268","-6750.957","78.561","-4.683","-22.367"
2007,"Oregon","63525.957","60054.518","3471.439","105.780","2.036","8.293"
2007,"Pennsylvania","119150.697","137432.658","-18281.961","86.698","-3.305","-15.049"
2007,"Rhode Island","9350.657","16052.022","-6701.365","58.252","-13.976","-59.413"
2007,"South Carolina","32604.915","39266.139","-6661.224","83.036","-4.139","-17.118"
2007,"South Dakota","8390.620","9325.222","-934.602","89.978","-2.673","-13.265"
2007,"Tennessee","41206.217","37580.080","3626.137","109.649","1.490","6.892"
2007,"Texas","189151.831","174657.588","14494.243","108.299","1.227","7.441"
2007,"Utah","24187.482","20128.399","4059.083","120.166","3.499","17.356"
2007,"Vermont","3486.897","4152.744","-665.847","83.966","-2.689","-10.452"
2007,"Virginia","73362.163","71869.413","1492.750","102.077","0.381","2.119"
2007,"Washington","66552.452","62848.467","3703.985","105.894","1.079","5.145"
2007,"West Virginia","8183.071","12130.000","-3946.929","67.461","-6.740","-25.767"
2007,"Wisconsin","89714.345","65457.847","24256.498","137.057","9.942","43.260"
2007,"Wyoming","7084.398","6371.869","712.529","111.182","1.938","8.346"
2006,"United States","3130424.645","3406455.000","-276030.355","91.897","-2.003","-10.066"
2006,"Alabama","32708.626","38909.575","-6200.949","84.063","-3.755","-17.347"
2006,"Alaska","14448.293","15655.668","-1207.375","92.288","-2.691","-9.115"
2006,"Arizona","34842.145","46439.689","-11597.544","75.027","-4.675","-24.749"
2006,"Arkansas","18434.681","19289.994","-855.313","95.566","-0.893","-4.113"
2006,"California","607883.229","595417.064","12466.165","102.094","0.667","3.037"
2006,"Colorado","46242.818","64287.604","-18044.786","71.931","-7.740","-43.792"
2006,"Connecticut","31221.013","53052.820","-21831.807","58.849","-9.879","-64.882"
2006,"Delaware","7088.296","7378.201","-289.905","96.071","-0.519","-3.421"
2006,"District of Columbia","6637.145","4021.168","2615.977","165.055","2.956","23.520"
2006,"Florida","146794.161","133864.682","12929.479","109.659","1.728","8.446"
2006,"Georgia","71458.896","90240.555","-18781.659","79.187","-4.768","-28.432"
2006,"Hawaii","13132.877","15562.041","-2429.164","84.390","-3.938","-20.245"
2006,"Idaho","10516.272","9759.596","756.676","107.753","1.460","6.976"
2006,"Illinois","133910.133","203686.268","-69776.135","65.743","-11.190","-64.721"
2006,"Indiana","29491.865","29198.115","293.750","101.006","0.114","0.582"
2006,"Iowa","25794.951","21607.695","4187.256","119.379","3.262","16.859"
2006,"Kansas","15902.633","16882.521","-979.888","94.196","-0.862","-4.540"
2006,"Kentucky","31726.929","43232.159","-11505.230","73.387","-7.550","-37.203"
2006,"Louisiana","36610.246","52246.692","-15636.446","70.072","-7.520","-39.275"
2006,"Maine","11714.943","12838.167","-1123.224","91.251","-2.332","-9.779"
2006,"Maryland","50868.638","61714.828","-10846.190","82.425","-3.898","-22.460"
2006,"Massachusetts","63315.907","94253.512","-30937.605","67.176","-8.612","-46.461"
2006,"Michigan","91926.341","91064.334","862.007","100.947","0.217","1.027"
2006,"Minnesota","53613.511","60925.113","-7311.602","87.999","-2.910","-14.991"
2006,"Mississippi","26265.566","27182.376","-916.810","96.627","-1.050","-3.823"
2006,"Missouri","59445.399","71291.795","-11846.396","83.383","-5.060","-26.802"
2006,"Montana","7877.076","8988.397","-1111.321","87.636","-3.405","-13.857"
2006,"Nebraska","10363.117","10630.973","-267.856","97.480","-0.341","-1.578"
2006,"Nevada","22607.105","26821.673","-4214.568","84.287","-3.361","-20.697"
2006,"New Hampshire","5670.142","7632.195","-1962.053","74.292","-3.354","-20.919"
2006,"New Jersey","67423.790","130998.270","-63574.480","51.469","-13.627","-74.381"
2006,"New Mexico","21909.857","25548.737","-3638.880","85.757","-4.693","-19.707"
2006,"New York","371335.768","356827.109","14508.659","104.066","1.339","5.452"
2006,"North Carolina","71259.671","65927.932","5331.739","108.087","1.380","7.815"
2006,"North Dakota","3943.109","3801.017","142.092","103.738","0.536","2.462"
2006,"Ohio","159348.356","177063.678","-17715.322","89.995","-3.674","-16.344"
2006,"Oklahoma","22852.513","29487.174","-6634.661","77.500","-4.850","-24.754"
2006,"Oregon","61488.031","58882.810","2605.221","104.424","1.598","7.193"
2006,"Pennsylvania","110218.595","131358.625","-21140.030","83.907","-3.989","-19.380"
2006,"Rhode Island","9664.714","15746.557","-6081.843","61.377","-12.761","-60.010"
2006,"South Carolina","32125.991","36329.457","-4203.466","88.430","-2.751","-12.113"
2006,"South Dakota","8006.593","8991.608","-985.015","89.045","-3.035","-16.266"
2006,"Tennessee","38576.653","36330.249","2246.404","106.183","0.938","4.756"
2006,"Texas","183825.626","164412.068","19413.558","111.808","1.774","10.961"
2006,"Utah","21531.550","18924.420","2607.130","113.777","2.452","12.550"
2006,"Vermont","3342.869","3843.047","-500.178","86.985","-2.063","-8.726"
2006,"Virginia","64995.849","66805.542","-1809.693","97.291","-0.478","-2.931"
2006,"Washington","62259.486","61321.246","938.240","101.530","0.297","1.489"
2006,"West Virginia","5765.874","11373.255","-5607.381","50.697","-9.881","-39.928"
2006,"Wisconsin","85353.985","62449.514","22904.471","136.677","9.687","47.759"
2006,"Wyoming","6682.809","5957.215","725.594","112.180","2.196","8.922"
2005,"United States","2828342.622","3140934.000","-312591.378","90.048","-2.400","-12.362"
2005,"Alabama","28893.739","35532.402","-6638.663","81.317","-4.204","-19.890"
2005,"Alaska","13189.058","14682.093","-1493.035","89.831","-3.707","-13.092"
2005,"Arizona","32770.687","42274.893","-9504.206","77.518","-4.186","-23.149"
2005,"Arkansas","17040.260","17860.605","-820.345","95.407","-0.910","-4.348"
2005,"California","544865.770","542139.083","2726.687","100.503","0.155","0.716"
2005,"Colorado","42801.211","58719.769","-15918.558","72.891","-7.157","-40.906"
2005,"Connecticut","27489.818","48456.831","-20967.013","56.731","-10.073","-68.767"
2005,"Delaware","6368.432","6820.652","-452.220","93.370","-0.855","-5.922"
2005,"District of Columbia","6614.932","3589.030","3025.902","184.310","3.604","30.120"
2005,"Florida","135390.970","122812.636","12578.334","110.242","1.796","9.284"
2005,"Georgia","66896.127","83776.704","-16880.577","79.851","-4.482","-27.996"
2005,"Hawaii","11087.531","13956.982","-2869.451","79.441","-4.937","-26.085"
2005,"Idaho","9188.133","8727.692","460.441","105.276","0.959","4.602"
2005,"Illinois","125350.936","186931.745","-61580.809","67.057","-10.458","-61.785"
2005,"Indiana","25917.381","26467.401","-550.020","97.922","-0.223","-1.242"
2005,"Iowa","22778.502","19809.917","2968.585","114.985","2.394","12.793"
2005,"Kansas","13161.337","15604.102","-2442.765","84.345","-2.286","-12.220"
2005,"Kentucky","29543.724","39612.964","-10069.240","74.581","-6.984","-35.873"
2005,"Louisiana","33160.279","48459.691","-15299.412","68.429","-7.633","-42.667"
2005,"Maine","9290.120","11937.266","-2647.146","77.825","-5.748","-23.255"
2005,"Maryland","45966.500","55347.055","-9380.555","83.051","-3.543","-20.810"
2005,"Massachusetts","56261.908","87995.012","-31733.104","63.938","-9.221","-51.166"
2005,"Michigan","82499.813","86061.886","-3562.073","95.861","-0.899","-4.390"
2005,"Minnesota","50283.241","57290.385","-7007.144","87.769","-2.862","-15.412"
2005,"Mississippi","22406.334","24962.886","-2556.552","89.759","-3.107","-12.109"
2005,"Missouri","54231.672","64424.529","-10192.857","84.179","-4.525","-24.656"
2005,"Montana","6879.151","8298.682","-1419.531","82.895","-4.666","-19.084"
2005,"Nebraska","9021.881","9736.651","-714.770","92.659","-0.961","-4.494"
2005,"Nevada","21021.129","24284.823","-3263.694","86.561","-2.795","-17.220"
