01203700310000Z06           00909NR
01203700310000Z07           00909NR
01203700310000Z08     3088417090911
01203700310000Z09      795833090911
01203700310000Z10      898083090911
01203700310000Z11       48833090911
01203700310000Z12           00909NR
01203700310000Z13       37061090911
01203700310000Z14        9550090911
01203700310000Z15       10777090911
01203700310000Z16           00909NR
01203700310000Z62           00909NR
01203700310000Z63      203671090911
01203700310000Z68           00909NR
01203700310000Z70           00909NR
01203700310000Z71           00909NR
01203700310000Z72           00909NR
01203700310000Z73        2711090911
01203700310000Z74           00909NR
01203700310000Z77      203671090911
01203700310000Z78      384233090911
01203700310000Z81      782791090911
01203700310000Z82           00909NR
01203700310000Z83           00909NR
01203700310000Z84           00909NR
01203700310000Z87           00909NR
01203700310000Z88           00909NR
01203700310000Z89      194887090911
01203700310000Z90           00909NR
01203700310000Z91       98828090911
01203700310000Z92           00909NR
01203700310000Z93        2756090911
01203700310000Z95           00909NR
01203700310000Z96           00909NR
01203700310000Z97           00909NR
01203700310100X04        4127090911
01203700310100V01           00909NR
01203700310100V02           00909NR
01203700310100V03           00909NR
01203700310100V04           00909NR
01203700310100V05           00909NR
01203700310100V07           00909NR
01203700310100X01        4075090911
01203700310100X05           00909NR
01203700310100X08       -2400090911
01203700310100X11        6369090911
01203700310100X12         317090911
01203700310100X21        2849090911
01203700310100X30       11783090911
01203700310100X33           00909NR
01203700310100X35           00909NR
01203700310100X42           00909NR
01203700310100X44           00909NR
01203700310100X46           00909NR
01203700310100X47           00909NR
01203700310100Z01        1351090911
01203700310100Z02           00909NR
01203700310100Z03         191090911
01203700310100Z04           00909NR
01203700310100Z05          83090911
01203700310100Z06           00909NR
01203700310100Z07           00909NR
01203700310100Z08      370000090911
01203700310100Z09           00909NR
01203700310100Z10      160750090911
01203700310100Z11           00909NR
01203700310100Z12           00909NR
01203700310100Z13        4442090911
01203700310100Z14           00909NR
01203700310100Z15        1927090911
01203700310100Z16           00909NR
01203700310100Z62           00909NR
01203700310100Z63       15117090911
01203700310100Z68        1489090911
01203700310100Z70           00909NR
01203700310100Z71           00909NR
01203700310100Z72           00909NR
01203700310100Z73           1090911
01203700310100Z74           00909NR
01203700310100Z77       15117090911
01203700310100Z78        9416090911
01203700310100Z81       39165090911
01203700310100Z82           00909NR
01203700310100Z83           00909NR
01203700310100Z84           00909NR
01203700310100Z87        1084090911
01203700310100Z88         276090911
01203700310100Z89       11783090911
01203700310100Z90           00909NR
01203700310100Z91        2401090911
01203700310100Z92           00909NR
01203700310100Z93         983090911
01203700310100Z95           00909NR
01203700310100Z96           00909NR
01203700310100Z97           00909NR
01205100110000X04        7844090911
01205100110000V01           00909NR
01205100110000V02           00909NR
01205100110000V03           00909NR
01205100110000V04           00909NR
01205100110000V05           00909NR
01205100110000V07           00909NR
01205100110000X01        5655090911
01205100110000X05           00909NR
01205100110000X08      -57969090911
01205100110000X11       18752090911
01205100110000X12         990090911
01205100110000X21        3570090911
01205100110000X30        3592090911
01205100110000X33           00909NR
01205100110000X35           00909NR
01205100110000X42           00909NR
01205100110000X44      150736090911
01205100110000X46           00909NR
01205100110000X47           00909NR
01205100110000Z01        3084090911
01205100110000Z02           00909NR
01205100110000Z03        1457090911
01205100110000Z04           00909NR
01205100110000Z05           00909NR
01205100110000Z06         192090911
01205100110000Z07           00909NR
01205100110000Z08     1562667090911
01205100110000Z09           00909NR
01205100110000Z10           00909NR
01205100110000Z11           00909NR
01205100110000Z12           00909NR
01205100110000Z13       18752090911
01205100110000Z14           00909NR
01205100110000Z15           00909NR
01205100110000Z16           00909NR
01205100110000Z62           00909NR
01205100110000Z63       51820090911
01205100110000Z68           00909NR
01205100110000Z70           00909NR
01205100110000Z71       10433090911
01205100110000Z72           00909NR
01205100110000Z73           00909NR
01205100110000Z74           00909NR
01205100110000Z77       51820090911
01205100110000Z78       29195090911
01205100110000Z81      238913090911
01205100110000Z82           00909NR
01205100110000Z83      150736090911
01205100110000Z84           00909NR
01205100110000Z87           00909NR
01205100110000Z88        3570090911
01205100110000Z89        3592090911
01205100110000Z90           00909NR
01205100110000Z91       68402090911
01205100110000Z92           00909NR
01205100110000Z93        1543090911
01205100110000Z95           00909NR
01205100110000Z96           00909NR
01205100110000Z97           00909NR
