01000000003401X01       390809797MA
04000000004301Z03       13644979771
04000000004301Z04        1081979771
04000000004301Z05         435979771
04000000004301Z08    13981220979771
04000000004301Z09      940711979771
04000000004301Z10      258576979771
04000000004301Z67      232737979771
04000000004301Z68      734967979771
04000000004301Z69      735039979771
04000000004301Z72      175683979771
04000000004301Z75       547179797MA
04000000004301Z76        22809797MA
04000000004301Z77      496733979771
04000000004301Z78     2908758979771
04000000004301Z79      257066979771
04000000004301Z81     4558530979771
04000000004301Z82       36251979771
04000000004301Z83       402159797AD
04000000004301Z84         681979771
04000000004301Z87        2000979771
04000000004301Z88        1459979771
04000000004301Z89      559180979771
04000000004301Z91      105105979771
04000000004301Z93       156069797AD
04000000004301Z96      607819979771
04000000004301Z99       140309797AD
04000000090001X02        7012979771
04000000090001X06       14851979771
04000000090001X08       77891979771
04000000090001X11       23593979771
04000000090001X12        1083979771
04000000090001X21       12215979771
04000000090001X30      153076979771
04000000090001X33       48351979771
04000000090001X40      196695979771
04000000090001X41      221289979771
04000000090001Z01        4068979771
04000000090001Z02         136979771
04000000090001Z03        1435979771
04000000090001Z04         253979771
04000000090001Z05         292979771
04000000090001Z06          25979771
04000000090001Z08     1663846979771
04000000090001Z09      184794979771
04000000090001Z10      142559979771
04000000090001Z11      103434979771
04000000090001Z68        5969979771
04000000090001Z72        1743979771
04000000090001Z73       23594979771
04000000090001Z74        4068979771
04000000090001Z76        4068979771
04000000090001Z77      196615979771
04000000090001Z78      265393979771
04000000090001Z79      196695979771
04000000090001Z81      5832759797BC
04000000090001Z88        6246979771
04000000090001Z89      104725979771
04000000090001Z91       19208979771
04000000090001Z93        1275979771
04000000090001Z96       71762979771
04000000090001Z99       14851979771
04000000090101X02          56979771
04000000090101X06        6112979771
04000000090101X08       11219979771
04000000090101X11        6470979771
04000000090101X21       19832979771
04000000090101X30       61260979771
04000000090101X41       75441979771
04000000090101Z01         461979771
04000000090101Z02          15979771
04000000090101Z03         208979771
04000000090101Z04          22979771
04000000090101Z05          75979771
04000000090101Z08      450041979771
04000000090101Z09       27875979771
04000000090101Z10       52017979771
04000000090101Z72        1735979771
04000000090101Z73        5783979771
04000000090101Z76         461979771
04000000090101Z78       90593979771
04000000090101Z81      156533979771
04000000090101Z87       19801979771
04000000090101Z88          31979771
04000000090101Z89       61260979771
04000000090101Z93         832979771
04000000090101Z96        3701979771
04000000090101Z99        6112979771
04000000090201V87        5380979771
04000000090201X01         618979771
04000000090201X06        5380979771
04000000090201X08        6218979771
04000000090201X11        2997979771
04000000090201X12          28979771
04000000090201X21        1734979771
04000000090201X30       21271979771
04000000090201X33        9911979771
04000000090201X40        5970979771
04000000090201X41       29137979771
04000000090201Z01         126979771
04000000090201Z02           1979771
04000000090201Z03          46979771
04000000090201Z05          30979771
04000000090201Z08      192884979771
04000000090201Z10       62662979771
04000000090201Z72         265979771
04000000090201Z73        2159979771
04000000090201Z76         126979771
04000000090201Z77        6017979771
04000000090201Z78       42121979771
04000000090201Z79        5970979771
04000000090201Z81       58112979771
04000000090201Z87        1715979771
04000000090201Z88          19979771
04000000090201Z89       11360979771
04000000090201Z93         135979771
04000000090201Z96        3794979771
04200100510000X01          23979771
04200100510000X04         119979771
04200100510000X05         106979771
04200100510000X08         346979771
04200100510000X11         229979771
04200100510000X12          10979771
04200100510000X21        2235979771
04200100510000X30         890979771
04200100510000X33         249979771
04200100510000X40        3000979771
04200100510000Z01          18979771
04200100510000Z03          16979771
04200100510000Z04           3979771
04200100510000Z05           9979771
04200100510000Z08       12883979771
04200100510000Z09        2431979771
04200100510000Z10        5068979771
04200100510000Z67        3000979771
04200100510000Z73         346979771
04200100510000Z81        6125979771
04200100510000Z87        1883979771
04200100510000Z88         352979771
04200100510000Z89         641979771
04200100510000Z93           2979771
04200401010000X01          58979771
04200401010000X04         214979771
04200401010000X05         100979771
04200401010000X08         830979771
04200401010000X11         178979771
04200401010000X21         114979771
04200401010000X44        7418979771
04200401010000Z01          25979771
04200401010000Z03           6979771
04200401010000Z04           5979771
04200401010000Z05           4979771
04200401010000Z08        4956979771
04200401010000Z09        7253979771
04200401010000Z10        1509979771
04200401010000Z72         290979771
04200401010000Z81        7532979771
04200401010000Z83        7418979771
04200401010000Z88         114979771
04200401010000Z93          34979771
04200401010000Z96         540979771
04200800410000X01           2979771
04200800410000X04           2979771
04200800410000X05          13979771
04200800410000X08          17979771
04200800410000X11          10979771
04200800410000X21         367979771
04200800410000Z01           6979771
04200800410000Z03          24979771
04200800410000Z05           3979771
04200800410000Z08         790979771
04200800410000Z10          90979771
04200800410000Z73          17979771
04200800410000Z81         367979771
04200800410000Z87         235979771
04200800410000Z88         132979771
04201700510000X01          17979771
04201700510000X04          17979771
04201700510000X05          34979771
04201700510000X08          75979771
04201700510000X11          239797BC
04201700510000X12          23979771
04201700510000X21        1490979771
04201700510000Z01          10979771
04201700510000Z03           2979771
04201700510000Z05           1979771
04201700510000Z08        1632979771
04201700510000Z10         250979771
04201700510000Z73          75979771
04201700510000Z81        1490979771
04201700510000Z87        1423979771
04201700510000Z88          67979771
04201800810000X01          34979771
04201800810000X04         185979771
04201800810000X05          55979771
04201800810000X08         491979771
04201800810000X11         387979771
04201800810000X21          94979771
04201800810000X30         777979771
04201800810000X40         205979771
04201800810000X41        1206979771
04201800810000Z01          17979771
04201800810000Z03          32979771
04201800810000Z04           1979771
04201800810000Z05           5979771
