01203700310100X47           01313NR
01203700310100Z01        15171313NR
01203700310100Z02           01313NR
01203700310100Z03         2221313NR
01203700310100Z04           01313NR
01203700310100Z05          891313NR
01203700310100Z13        39891313NR
01203700310100Z14           01313NR
01203700310100Z15         1851313NR
01203700310100Z16          311313NR
01203700310100Z62         9861313NR
01203700310100Z63        71271313NR
01203700310100Z68           01313NR
01203700310100Z70           01313NR
01203700310100Z71           01313NR
01203700310100Z72         2971313NR
01203700310100Z73         3011313NR
01203700310100Z77        71271313NR
01203700310100Z78       228321313NR
01203700310100Z81       50306131311
01203700310100Z82           01313NR
01203700310100Z83           01313NR
01203700310100Z84       103291313NR
01203700310100Z87         1301313NR
01203700310100Z88        26911313NR
01203700310100Z89        62111313NR
01203700310100Z91           01313NR
01203700310100Z93         2421313NR
01203700310100Z96        45741313NR
01205100110000X04       12666131311
01205100110000X01       19762131311
01205100110000X05           0131311
01205100110000X08        3739131311
01205100110000X11       22934131311
01205100110000X12        2661131311
01205100110000X21       24607131311
01205100110000X30       38740131311
01205100110000X33           0131311
01205100110000X35           0131311
01205100110000X42           0131311
01205100110000X44           0131311
01205100110000X46           0131311
01205100110000X47        6650131311
01205100110000Z01        3084131311
01205100110000Z02           0131311
01205100110000Z03        1569131311
01205100110000Z04           0131311
01205100110000Z05           0131311
01205100110000Z13       22934131311
01205100110000Z14           0131311
01205100110000Z15           0131311
01205100110000Z16           0131311
01205100110000Z62           0131311
01205100110000Z63      106662131311
01205100110000Z68           0131311
01205100110000Z70           0131311
01205100110000Z71        1701131311
01205100110000Z72        1966131311
01205100110000Z73          72131311
01205100110000Z77      106662131311
01205100110000Z78       76984131311
01205100110000Z81      319191131311
01205100110000Z82       72198131311
01205100110000Z83       65548131311
01205100110000Z84           0131311
01205100110000Z87           0131311
01205100110000Z88       24607131311
01205100110000Z89       38740131311
01205100110000Z91           01313NR
01205100110000Z93        1182131311
01205100110000Z96           0131311
01206300210000X04        40311313NR
01206300210000X01        33181313NR
01206300210000X05         1211313NR
01206300210000X08        61271313NR
01206300210000X11        47591313NR
01206300210000X12         1201313NR
01206300210000X21        26081313NR
01206300210000X30        73941313NR
01206300210000X33           01313NR
01206300210000X35           01313NR
01206300210000X42           01313NR
01206300210000X44       106131313NR
01206300210000X46           01313NR
01206300210000X47           01313NR
01206300210000Z01         4911313NR
01206300210000Z02           01313NR
01206300210000Z03         2691313NR
01206300210000Z04          171313NR
01206300210000Z05          711313NR
01206300210000Z13        44321313NR
01206300210000Z14         1731313NR
01206300210000Z15         1321313NR
01206300210000Z16          221313NR
01206300210000Z62         5271313NR
01206300210000Z63        73221313NR
01206300210000Z68        22601313NR
01206300210000Z70           01313NR
01206300210000Z71         8771313NR
01206300210000Z72         3361313NR
01206300210000Z73         3401313NR
01206300210000Z77        73221313NR
01206300210000Z78       289941313NR
01206300210000Z81       569311313NR
01206300210000Z82           01313NR
01206300210000Z83           01313NR
01206300210000Z84       106131313NR
01206300210000Z87         1101313NR
01206300210000Z88         2381313NR
01206300210000Z89        68671313NR
01206300210000Z91           01313NR
01206300210000Z93         2741313NR
01206300210000Z96        45741313NR
01402000210000X04        1400131311
01402000210000X01           0131311
01402000210000X05           0131311
01402000210000X08        2616131311
01402000210000X11        1447131311
01402000210000X12           0131311
