01203700310000Z13       370610909NR
01203700310000Z14        95500909NR
01203700310000Z15       107770909NR
01203700310000Z16           00909NR
01203700310000Z62           00909NR
01203700310000Z63      2036710909NR
01203700310000Z68           00909NR
01203700310000Z70           00909NR
01203700310000Z71           00909NR
01203700310000Z72           00909NR
01203700310000Z73        27110909NR
01203700310000Z74           00909NR
01203700310000Z77      2036710909NR
01203700310000Z78      3842330909NR
01203700310000Z81      7827910909NR
01203700310000Z82           00909NR
01203700310000Z83           00909NR
01203700310000Z84           00909NR
01203700310000Z87           00909NR
01203700310000Z88           00909NR
01203700310000Z89      1948870909NR
01203700310000Z90           00909NR
01203700310000Z91       988280909NR
01203700310000Z92           00909NR
01203700310000Z93        27560909NR
01203700310000Z95           00909NR
01203700310000Z96           00909NR
01203700310000Z97           00909NR
01203700310100X04        41270909NR
01203700310100V01           00909NR
01203700310100V02           00909NR
01203700310100V03           00909NR
01203700310100V04           00909NR
01203700310100V05           00909NR
01203700310100V07           00909NR
01203700310100X01        40750909NR
01203700310100X05           00909NR
01203700310100X08       -24000909NR
01203700310100X11        63690909NR
01203700310100X12         3170909NR
01203700310100X21        28490909NR
01203700310100X30       117830909NR
01203700310100X33           00909NR
01203700310100X35           00909NR
01203700310100X42           00909NR
01203700310100X44           00909NR
01203700310100X46           00909NR
01203700310100X47           00909NR
01203700310100Z01        13510909NR
01203700310100Z02           00909NR
01203700310100Z03         1910909NR
01203700310100Z04           00909NR
01203700310100Z05          830909NR
01203700310100Z06           00909NR
01203700310100Z07           00909NR
01203700310100Z08      3700000909NR
01203700310100Z09           00909NR
01203700310100Z10      1607500909NR
01203700310100Z11           00909NR
01203700310100Z12           00909NR
01203700310100Z13        44420909NR
01203700310100Z14           00909NR
01203700310100Z15        19270909NR
01203700310100Z16           00909NR
01203700310100Z62           00909NR
01203700310100Z63       151170909NR
01203700310100Z68        14890909NR
01203700310100Z70           00909NR
01203700310100Z71           00909NR
01203700310100Z72           00909NR
01203700310100Z73           10909NR
01203700310100Z74           00909NR
01203700310100Z77       151170909NR
01203700310100Z78        94160909NR
01203700310100Z81       391650909NR
01203700310100Z82           00909NR
01203700310100Z83           00909NR
01203700310100Z84           00909NR
01203700310100Z87        10840909NR
01203700310100Z88         2760909NR
01203700310100Z89       117830909NR
01203700310100Z90           00909NR
01203700310100Z91        24010909NR
01203700310100Z92           00909NR
01203700310100Z93         9830909NR
01203700310100Z95           00909NR
01203700310100Z96           00909NR
01203700310100Z97           00909NR
01205100110000X04        78440909NR
01205100110000V01           00909NR
01205100110000V02           00909NR
01205100110000V03           00909NR
01205100110000V04           00909NR
01205100110000V05           00909NR
01205100110000V07           00909NR
01205100110000X01        56550909NR
01205100110000X05           00909NR
01205100110000X08      -579690909NR
01205100110000X11       187520909NR
01205100110000X12         9900909NR
01205100110000X21        35700909NR
01205100110000X30        35920909NR
01205100110000X33           00909NR
01205100110000X35           00909NR
01205100110000X42           00909NR
01205100110000X44      1507360909NR
01205100110000X46           00909NR
01205100110000X47           00909NR
01205100110000Z01        30840909NR
01205100110000Z02           00909NR
01205100110000Z03        14570909NR
01205100110000Z04           00909NR
01205100110000Z05           00909NR
01205100110000Z06         1920909NR
01205100110000Z07           00909NR
01205100110000Z08     15626670909NR
01205100110000Z09           00909NR
01205100110000Z10           00909NR
01205100110000Z11           00909NR
01205100110000Z12           00909NR
01205100110000Z13       187520909NR
01205100110000Z14           00909NR
01205100110000Z15           00909NR
01205100110000Z16           00909NR
01205100110000Z62           00909NR
01205100110000Z63       518200909NR
01205100110000Z68           00909NR
01205100110000Z70           00909NR
01205100110000Z71       104330909NR
01205100110000Z72           00909NR
01205100110000Z73           00909NR
01205100110000Z74           00909NR
01205100110000Z77       518200909NR
01205100110000Z78       291950909NR
01205100110000Z81      2389130909NR
01205100110000Z82           00909NR
01205100110000Z83      1507360909NR
01205100110000Z84           00909NR
01205100110000Z87           00909NR
01205100110000Z88        35700909NR
01205100110000Z89        35920909NR
01205100110000Z90           00909NR
01205100110000Z91       684020909NR
01205100110000Z92           00909NR
01205100110000Z93        15430909NR
01205100110000Z95           00909NR
01205100110000Z96           00909NR
01205100110000Z97           00909NR
01206300210000X04        31390909NR
01206300210000V01           00909NR
01206300210000V02           00909NR
01206300210000V03           00909NR
01206300210000V04           00909NR
01206300210000V05           00909NR
01206300210000V07           00909NR
01206300210000X01        27740909NR
01206300210000X05           00909NR
01206300210000X08      -125030909NR
01206300210000X11       100740909NR
01206300210000X12         2680909NR
01206300210000X21        26380909NR
01206300210000X30        80670909NR
01206300210000X33        80670909NR
01206300210000X35           00909NR
01206300210000X42           00909NR
01206300210000X44       104370909NR
